TN,General,"October 5, 2020","November 3, 2020",,
TX,General,TBD*,"November 3, 2020",,
UT,Presidential Preference Primary,TBD*,"March 3, 2020",,
UT,Primary,TBD*,"June 23, 2020",,
UT,General,"November 3, 2020*","November 3, 2020",,
VT,Primary,"August 11, 2020*","August 11, 2020",,
VT,General,"November 3, 2020*","November 3, 2020",,
VA,Primary,"February 10, 2020","March 3, 2020",,
VA,General,"October 12, 2020","November 3, 2020",,
VI,General,TBD,"November 3, 2020",,
WA,Primary,"August 4, 2020*","August 4, 2020",See the state election office website for details on exceptions to the regular registration deadline.,
WA,General,"November 3, 2020*","November 3, 2020",,
WV,Primary,"April 21, 2020","May 12, 2020",,
WV,General,"October 13, 2020","November 3, 2020",,
WI,Presidential Primary,"April 7, 2020*","April 7, 2020",,
WI,Partisan,"August 11, 2020*","August 11, 2020",,
WI,General,"November 3, 2020*","November 3, 2020",,
WY,Primary,"August 18, 2020*","August 18, 2020",Wyoming offers Election-Day registration. See the state election office website for details on exceptions to the regular registration deadline.,
WY,General,"November 3, 2020*","November 3, 2020",,
